mean,std,variance,rms,min,max,range,low_freq_ratio,high_freq_ratio,label
-0.16922000000000004,0.11585504563893625,0.013422391600000003,0.20507998439633254,-0.35,0.61,0.96,0.2555111952546462,0.06799934279766953,1
-0.01582,0.14892389868654393,0.0221783276,0.14976181088648735,-0.25,0.75,1.0,0.02703238424759148,0.09141271124070272,1
0.048040000000000006,0.10369068617768909,0.010751758400000004,0.11427860692185568,-0.09,0.73,0.82,0.10042783781821016,0.08223507511710638,1
0.07916,0.13541969723788339,0.0183384944,0.15685917250833625,-0.16,0.74,0.9,0.10083910189828381,0.07524776662314536,1
0.11238000000000001,0.13649518526307072,0.018630935600000002,0.17680554289953695,-0.1,0.88,0.98,0.1486515761667906,0.06036382909323236,1
0.11114,0.1400903294306927,0.0196253004,0.17882225812241606,-0.09,0.8,0.89,0.1683039627886722,0.06718657633714344,1
0.01582,0.24619652231499942,0.0606127276,0.24670427641206386,-0.34,1.32,1.6600000000000001,0.015800912740609553,0.07669423064788153,2
0.0525,0.23675208552407728,0.056051550000000006,0.24250319585522992,-0.32,1.21,1.53,0.05356340148725073,0.09149015681323955,2
0.008280000000000006,0.21969397260735213,0.04826544159999999,0.21984994882874093,-0.3,1.14,1.44,0.010252976728897405,0.08359474258059024,2
0.0605,0.25298369512678087,0.06400075000000001,0.2601172812405973,-0.31,1.26,1.57,0.05860262938787908,0.09223452354112549,2
0.04086,0.19286020947826432,0.0371950604,0.1971410662444535,-0.27,0.94,1.21,0.053827784080366176,0.07366023403279896,2
0.03606,0.40961381373191014,0.1677834764,0.4111980058317404,-0.96,1.0,1.96,0.03157732460861388,0.045878336059913795,2
0.06642,0.27479698615523424,0.0755133836,0.28271009886454357,-0.6,1.08,1.6800000000000002,0.05351029791907161,0.06630313867913254,2
-0.27676,0.21166743348942463,0.0448031024,0.34842387977863976,-0.62,0.68,1.3,0.23443016907559888,0.059959433686603406,2
-0.018400000000000007,0.6572036518462142,0.43191663999999996,0.6574611775610785,-0.91,4.73,5.640000000000001,0.007141009687532787,0.10283166213894188,2
0.051260000000000035,0.8626847700058231,0.7442250123999999,0.8642063411014757,-0.92,4.7,5.62,0.01664476783470379,0.09684187473054286,2
-0.01908,0.6970603658220714,0.48589315360000007,0.6973214466800803,-1.0,4.87,5.87,0.0070879970966592045,0.09970108477259652,2
0.07091999999999998,0.8979770340047678,0.8063627535999999,0.9007732234030937,-0.92,4.91,5.83,0.021663274128563642,0.10137783661730163,2
-0.033120000000000004,0.5769900047661138,0.3329174656,0.5779397892514411,-0.77,4.09,4.859999999999999,0.014692582434731965,0.10152985603132691,2
0.012400000000000013,0.683770604808367,0.46754224,0.6838830309343843,-0.8,3.85,4.65,0.004738830169036522,0.10717070112805087,2
-0.14714000000000002,0.6098914824786456,0.3719676204,0.6273896715758078,-0.95,4.18,5.13,0.055810019801425186,0.09394945237876146,2
0.09806000000000001,0.6484915083484132,0.4205412364000001,0.6558635528827623,-0.73,3.97,4.7,0.025567337839112678,0.06962882607559792,2
-0.0545,0.8948957201819663,0.80083835,0.8965537351436332,-1.27,5.76,7.029999999999999,0.015657632296752468,0.08944016399125186,2
0.08089999999999999,1.1553528422088206,1.3348401900000002,1.158181764663906,-1.25,5.69,6.94,0.020004689502040037,0.10455719166934796,2
-0.026499999999999985,0.7391362188392611,0.5463223500000001,0.7396111140322325,-1.04,4.89,5.93,0.009202396158021474,0.09073854925472355,2
0.04921999999999999,0.8504831518613405,0.7233215916,0.851906215495579,-1.23,5.66,6.890000000000001,0.015733878459667158,0.0930189974740221,2
0.18139999999999998,1.0505299805336352,1.10361324,1.0660765450942067,-1.13,5.69,6.82,0.047126218365121826,0.1015967838261106,2
-0.07153999999999999,0.6742493814605987,0.45461222839999993,0.6780340699404419,-1.05,4.4,5.45,0.026902712310428102,0.0953392644805635,2
0.004540000000000015,1.0216429848043789,1.0437543884000002,1.0216530722314694,-1.18,5.21,6.39,0.0009043083931795794,0.087239703326314,2
-0.1646,0.8808428009582641,0.77588404,0.89608995084199,-1.37,5.11,6.48,0.03589572405568856,0.0665922471536196,2
0.013860000000000006,0.0823097831366357,0.0067749004,0.08346855695410099,-0.14,0.46,0.6000000000000001,0.038458964385884795,0.07795207112059607,2
0.03676,0.10459972466502958,0.010941102399999998,0.11087109632361358,-0.13,0.51,0.64,0.07372046476751198,0.09820192114619591,2
-0.015080000000000001,0.4479542315906838,0.2006629936,0.4482079874344053,-0.78,1.55,2.33,0.011453495432902515,0.04023446015191253,2
-0.008180000000000008,0.28682762698178155,0.08227008760000001,0.2869442454554543,-1.27,0.85,2.12,0.007668506767394334,0.04932445126031064,2
-0.025780000000000004,0.07882887542011494,0.0062139916,0.08293732573455694,-0.14,0.38,0.52,0.06799852691481387,0.10101669174444691,2
-0.004860000000000003,0.09066962225574782,0.0082209804,0.09079977973541567,-0.22,0.4,0.62,0.014377034497020928,0.07846506565518206,2
0.0304,0.07157820897451962,0.005123440000000001,0.07776631661587169,-0.11,0.37,0.48,0.08542891237493883,0.08965276791500949,2
